idx,PORO,PERM
1,0.50785,4.66964
2,0.5064875,4.48241
3,0.509725,5.01028
4,0.5105875,3.51429
5,0.50693125,3.70226
6,0.5001125,5.52911
7,0.50414375,3.70675
8,0.5065625,2.7995
9,0.50371875,5.02211
10,0.50416875,4.55603
11,0.5058875,7.7516
12,0.4997625,8.20468
13,0.50346875,5.78312
14,0.50014375,3.17373
15,0.5079375,7.36294
16,0.5066125,11.4873
17,0.50501875,4.65529
18,0.50258125,3.65228
19,0.50038125,5.17638
20,0.50055625,9.74019
21,0.50003125,1.92745
22,0.5015,3.82302
23,0.50065,8.17387
24,0.501175,3.7946
25,0.5115625,6.62484
26,0.5014875,3.63777
27,0.50496875,2.92472
28,0.50019375,4.51222
29,0.50021875,5.30651
30,0.50795625,3.68369
31,0.511475,4.35458
32,0.4788125,3.41325
33,0.5004125,9.93389
34,0.45790625,4.11445
35,0.5063125,2.84609
36,0.509325,7.83704
37,0.504575,5.4213
38,0.505275,6.59695
39,0.5070375,4.63199
40,0.5058375,6.98733
41,0.507,3.11171
42,0.50673125,5.05872
43,0.5124125,5.34149
44,0.50375,4.01103
45,0.50099375,9.79733
46,0.5000875,4.96177
47,0.50146875,3.95714
48,0.50100625,5.15779
49,0.50490625,4.02759
50,0.4567875,5.71545
51,0.4193875,1.48865
52,0.45950625,2.34871
53,0.3670625,1.21313
54,0.3651125,0.999477
55,0.36711875,1.54096
56,0.3719,0.449906
57,0.3873375,2.26895
58,0.36181875,1.20973
59,0.37040625,0.434081
60,0.37494375,1.25506
61,0.3794375,0.620666
62,0.431925,2.88642
63,0.459675,1.79046
64,0.3681875,0.860137
65,0.4572125,2.56272
66,0.45543125,2.2287
67,0.37473125,1.64166
68,0.38693125,1.21387
69,0.3716125,2.34489
70,0.36905625,0.915354
71,0.36515625,1.05605
72,0.3681875,1.88312
73,0.4313875,1.26105
74,0.3814625,2.38701
75,0.37896875,0.779292
76,0.37930625,1.50463
77,0.37295625,1.17058
78,0.360825,1.37836
79,0.35800625,0.57862
80,0.36415,1.43991
81,0.35066875,1.09598
82,0.3558875,0.993208
83,0.35903125,0.859268
84,0.4121125,2.86813
85,0.37480625,0.691373
86,0.37371875,1.09449
87,0.35950625,0.473229
88,0.3603,0.787632
89,0.3466,2.46774
90,0.3609125,0.92886
91,0.35149375,1.21768
92,0.357925,0.539185
93,0.34646875,1.09575
94,0.363225,1.50424
95,0.41765,1.30675
96,0.36445,0.887236
97,0.35816875,2.03653
98,0.35550625,0.333789
99,0.3563125,0.998984
100,0.3533875,1.97594
101,0.34108125,1.01929
102,0.35225625,0.736843
103,0.348775,0.981601
104,0.3438375,0.690616
105,0.351125,0.445882
106,0.4167,2.54421
107,0.3471875,0.697792
108,0.355825,0.561995
109,0.35176875,2.13475
110,0.352675,1.36737
111,0.35395625,0.529717
112,0.33884375,0.714735
113,0.33591875,1.62954
114,0.347225,0.61331
115,0.34474375,0.714427
116,0.3424125,0.41697
117,0.42295625,2.5521
118,0.3480875,0.531725
119,0.36586875,2.64703
120,0.34334375,0.657637
121,0.3377375,0.419939
122,0.45008125,1.19737
123,0.44293125,0.994427
124,0.44216875,2.84358
125,0.45796875,0.833135
126,0.456,1.69239
127,0.43945625,1.20431
128,0.4190375,1.08885
129,0.4549625,1.02998
130,0.438875,1.19025
131,0.44238125,1.82969
132,0.44105625,1.56479
133,0.44993125,4.20558
134,0.44161875,1.01416
135,0.4535375,2.52659
136,0.43249375,1.1725
137,0.43346875,0.575078
138,0.431575,2.98334
139,0.4236,1.57277
140,0.43154375,1.83853
141,0.4506875,2.07993
142,0.43156875,0.497631
143,0.43203125,2.62719
144,0.43184375,4.07692
145,0.4317375,5.21356
146,0.4507875,1.14604
147,0.4315625,2.03846
148,0.4539875,1.14424
149,0.42556875,1.54365
150,0.4162375,0.593943
151,0.43493125,2.34789
152,0.42538125,1.67264
153,0.4254625,1.87789
154,0.42796875,0.633933
155,0.4255,5.57497
156,0.4353375,1.90188
157,0.4258875,1.2643
158,0.43316875,0.701364
159,0.451625,1.04774
160,0.427825,1.4763
161,0.45966875,1.3141
162,0.42183125,0.884292
163,0.43686875,1.62448
164,0.4339375,1.93426
165,0.42185625,2.71373
166,0.42608125,1.14618
167,0.42340625,0.650952
168,0.41930625,1.21803
169,0.4209,2.01268
170,0.4236875,1.70188
