index,porosity (-),permeability (mD)
1,0.29213,200.65
2,0.27317,148.32
3,0.25458,124.76
4,0.26347,135.97
5,0.2872,189.36
6,0.29455,296.17
7,0.28455,315.64
8,0.24654,144.68
9,0.25702,152.87
10,0.26551,128.96
11,0.29473,183.95
12,0.27012,103.03
13,0.25337,149.01
14,0.29905,165.28
15,0.26758,109.16
16,0.28136,175.79
17,0.31847,223.49
18,0.27484,177.36
19,0.26877,121.89
20,0.26908,112.05
21,0.25141,149.97
22,0.29262,122.7
23,0.24643,141.68
24,0.24171,131.46
25,0.28621,195.45
26,0.27552,183.6
27,0.43709,855.49
28,0.29101,115.54
29,0.29686,135.67
30,0.34578,241.58
31,0.34701,250.07
32,0.29802,153.63
33,0.30497,195.86
34,0.3104,168.53
35,0.31684,171.61
36,0.36578,291.83
37,0.31074,440.77
38,0.36652,281.8
39,0.37473,299.74
40,0.37586,279.3
41,0.36346,202.2
42,0.27652,90.9
43,0.30386,178.58
44,0.34182,307.73
45,0.2862,131.43
46,0.27946,112.17
47,0.28861,210.18
48,0.37918,391.95
49,0.33082,296.42
50,0.27833,199.78
51,0.40794,568.53
52,0.30943,232.68
53,0.3202,212.77
54,0.27142,172.41
55,0.36357,323.94
56,0.25406,172.41
57,0.28831,181.36
58,0.27869,165.16
59,0.25772,169.64
60,0.27624,207.05
61,0.35957,1463.2
62,0.39819,1779.5
63,0.40249,1541.3
64,0.39094,1497.7
65,0.40569,1301.4
66,0.48388,1270
67,0.42979,1411.7
68,0.44163,1501.4
69,0.46942,1504.5
70,0.47686,1342.5
71,0.42722,1139
72,0.38486,1339
73,0.41848,1554.3
74,0.34072,747.49
75,0.42198,740.03
76,0.41122,1191.7
77,0.43104,1414.4
78,0.4247,1308.2
79,0.44622,1382.3
80,0.44942,1444.2
81,0.4472,1428.4
82,0.45383,1466.5
83,0.46768,1601.2
84,0.48736,1807.3
85,0.47501,1543.4
86,0.41981,724.82
87,0.4839,1668.4
88,0.4878,1593.8
89,0.48729,1528.4
90,0.47354,1433.2
91,0.47777,1500.8
92,0.49644,1696.3
93,0.50523,1746.7
94,0.51191,1760.2
95,0.51082,1748.5
96,0.52274,1737.7
97,0.42069,705.68
98,0.344,459.44
99,0.34182,438.1
100,0.3445,477
101,0.34122,474.85
102,0.35671,541.91
103,0.36148,516.15
104,0.35805,498.71
105,0.37369,569.75
106,0.37244,565
107,0.38248,617.11
108,0.42663,747.17
109,0.38887,614.13
110,0.39456,654.98
111,0.39901,626.39
112,0.38693,599.16
113,0.40468,651.72
114,0.39716,614.25
115,0.39652,606.23
116,0.39356,621.2
117,0.40361,671.16
118,0.41026,650.53
119,0.4293,770.21
120,0.42356,738.16
121,0.42047,687.37
122,0.42395,704.36
123,0.42602,711.55
124,0.43202,724.44
125,0.43005,741.84
126,0.43318,738.97
127,0.44448,737.86
128,0.44339,694.39
129,0.44473,757.36
130,0.43352,755.05
131,0.44064,715.67
132,0.44142,763.94
133,0.45414,770.99
134,0.4496,759.45
135,0.42927,754.67
136,0.43162,758.59
137,0.42119,702.74
138,0.42648,727.95
139,0.44998,1076.9
140,0.29082,155.57
141,0.29427,162.35
142,0.29619,163.27
143,0.2987,174.03
144,0.29937,160.56
145,0.29535,157.19
146,0.30135,163.12
147,0.3076,165.65
148,0.30883,173.93
149,0.30026,166.38
150,0.42838,747.51
151,0.30214,172.18
152,0.30693,179.33
153,0.31175,183.19
154,0.31149,176.05
155,0.31122,184.21
156,0.30712,174.26
157,0.30765,174.02
158,0.31084,174.43
159,0.30908,176.37
160,0.31406,175.95
161,0.41728,713.7
162,0.25047,98.84
163,0.24322,127.51
164,0.24731,117
165,0.25627,122.87
166,0.25373,107.32
167,0.2845,152.12
168,0.32149,205.83
169,0.26251,116.1
170,0.32083,199.21
171,0.27358,138.78
172,0.42343,722.64
173,0.27655,135.4
174,0.27197,142.85
175,0.28,136.36
176,0.28433,150.92
177,0.28479,149.81
178,0.28787,156.37
179,0.28514,147.59
180,0.29092,156.31
181,0.29076,154.95
182,0.30357,272.19
183,0.42286,728.18
184,0.30193,270.46
185,0.30027,258.22
186,0.30068,268.25
187,0.30436,267.25
188,0.3101,305.14
189,0.31472,298.37
190,0.31845,295.02
191,0.31853,303.52
192,0.3265,300.89
193,0.32796,313.33
194,0.41429,710.97
195,0.33255,328.79
196,0.3392,341.73
197,0.34155,336.3
198,0.35654,366.67
199,0.35815,358.99
200,0.35146,369.84
201,0.35796,374.49
202,0.36077,383.32
203,0.41494,1337.2
204,0.40282,1162.4
205,0.42382,737.1
206,0.43927,1463.7
207,0.43553,1365.6
208,0.43398,1321.8
209,0.44312,1418.6
210,0.44626,1445.6
211,0.44676,1502.8
212,0.46594,1682.9
213,0.46022,1525.5
214,0.47133,1655.9
215,0.47001,1657.3
216,0.4161,720.15
217,0.46992,1494.1
218,0.48376,1684.2
219,0.49363,1688.6
220,0.49501,1813.5
221,0.50004,1811.3
222,0.50049,1723.9
223,0.50293,1761.2
224,0.44241,1054
225,0.50698,1747.4
226,0.39916,1202.1
227,0.2974,153.57
228,0.46098,1105.7
229,0.46882,1163.7
230,0.47662,1171.4
231,0.38304,911.34
232,0.37915,882.32
233,0.38339,910.85
234,0.34794,757.68
235,0.36223,779.16
236,0.36813,817.93
237,0.33296,730.63
238,0.2955,146.86
239,0.32532,675.27
240,0.34808,838.3
241,0.35441,844.63
242,0.31797,586.14
243,0.32048,746.3
244,0.30576,528.66
245,0.38059,925.6
246,0.3003,148.71
247,0.29566,146.18
248,0.29909,146.73
249,0.30737,159.61
250,0.30883,152.87
251,0.30656,160.92
252,0.30817,160.83
253,0.31269,163.52
254,0.27585,125.63
255,0.31739,173.02
256,0.3184,177.57
257,0.3184,172.12
258,0.44635,1069.5
259,0.32219,173.77
260,0.254,111.92
261,0.25653,121.04
262,0.25712,123.63
263,0.26855,122.68
264,0.26466,112.47
265,0.29599,146.14
266,0.26836,131.61
267,0.26694,114.07
268,0.26374,122.5
269,0.27008,120.08
270,0.2861,155.39
271,0.30309,267.32
272,0.29702,264.8
273,0.29427,247.35
274,0.29712,256.34
275,0.30981,263.67
276,0.27608,139.23
277,0.32028,289.92
278,0.31602,264.18
279,0.31197,266.48
280,0.31578,262.83
281,0.32683,265
282,0.33445,302.9
283,0.33113,299.05
284,0.33833,317.2
285,0.34253,336.22
286,0.33268,310.02
287,0.2839,148.55
288,0.34825,330.23
289,0.3421,315.73
290,0.35916,371.48
291,0.36106,359.62
292,0.36479,360.04
293,0.37278,402.68
294,0.37094,386.58
295,0.38608,435.5
296,0.37145,381.35
297,0.37546,370.81
298,0.29746,177.9
299,0.38298,378.31
300,0.38719,411.29
301,0.38501,411.6
302,0.39401,435.57
303,0.38758,382.07
304,0.40365,429.62
305,0.40499,447.23
306,0.40168,415.77
307,0.40786,442.97
308,0.4101,436.59
309,0.45015,1050.4
310,0.40604,424.83
311,0.4261,536.9
312,0.41032,415.38
313,0.41135,424.51
